               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.045027,            0.012929,                   0,           0.0013851,           0.0035461,           0.0002758,          4.6459e-05,             0.04653,           0.0096871,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.045072,            0.018132,                   0,          0.00099283,           0.0035461,          0.00031692,          6.3132e-05,            0.046356,             0.00966,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.046993,            0.010604,                   0,          0.00099283,           0.0035461,          0.00031692,          6.3132e-05,            0.046356,           0.0096506,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.046032,            0.012059,                   0,           0.0025339,           0.0062057,          0.00050741,          0.00010763,            0.046192,           0.0095947,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.046932,            0.009774,                   0,           0.0025339,           0.0062057,          0.00050741,          0.00010763,            0.046192,           0.0095844,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.047257,            0.009346,                   0,           0.0073716,           0.0062057,          0.00082984,          0.00010866,            0.046076,           0.0092955,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,             0.04705,            0.012234,                   0,           0.0073716,           0.0062057,          0.00082984,          0.00010866,            0.046076,           0.0092917,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.047374,           0.0095288,                   0,            0.016734,           0.0097518,           0.0012318,          0.00018086,            0.045983,           0.0090676,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.046532,            0.011804,                   0,            0.016734,           0.0097518,           0.0012318,          0.00018086,            0.045983,           0.0090747,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.047346,           0.0091482,                   0,            0.019062,           0.0097518,           0.0010994,          0.00014579,            0.046069,           0.0086748,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.047782,           0.0080226,                   0,            0.019062,           0.0097518,           0.0010994,          0.00014579,            0.046069,           0.0086656,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.044281,            0.018692,                   0,            0.061156,            0.022163,           0.0053569,          0.00086127,            0.045495,            0.010289,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.045874,            0.012985,                   0,            0.061156,            0.022163,           0.0053569,          0.00086127,            0.045495,            0.010286,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.046244,            0.014742,                   0,            0.018372,             0.02305,           0.0024564,          0.00045837,            0.045837,            0.010135,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.044647,            0.016609,                   0,            0.018372,             0.02305,           0.0024564,          0.00045837,            0.045837,            0.010144,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.045969,            0.011962,                   0,            0.061477,            0.023936,           0.0058808,           0.0012361,            0.045462,            0.010462,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.047337,           0.0097861,                   0,            0.061477,            0.023936,           0.0058808,           0.0012361,            0.045462,            0.010456,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.045595,            0.010981,                   0,            0.056265,            0.026596,           0.0065821,           0.0012185,            0.045309,            0.010409,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.046479,           0.0092504,                   0,            0.056265,            0.026596,           0.0065821,           0.0012185,            0.045309,            0.010418,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.045604,            0.014751,                   0,            0.057169,            0.033688,           0.0080402,           0.0014943,            0.045288,            0.010211,                   0,            0.009208,            0.009208,            0.009208
